RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
395131,560,"Sterling, IL",msa,IL,77333,75667,78667,86667,89167,88833,92083,92583,96417,93167,98167,91333,85750,78583,76750,77333,78700,81200,91533,96167,94667,81800,70411,75578,77194,81417,72067,80650,88650,95817,98483,94817,96000,91500,97167,95500,95000,88333,92333,89417,96083,93750,97250,94917,99250,102167,96167,96417,94917,96583,92833,91333,92000,98333,101167,104750,105083,110083,119167,114000,114000,109000,114917,113000,114667,116167,114917,111583,115167,121233,119567,114567,102417,96083,90750,95000,108000,121167,126167,115333
394411,561,"Branson, MO",msa,MO,130667,128500,125000,128375,130542,134708,138333,139500,137150,130883,129383,135733,139167,144500,143483,145650,143983,146583,145567,146067,147150,149583,148583,148583,156167,157000,156083,147400,148700,155767,161117,163817,157650,160317,161650,165000,154417,152083,150417,160417,168750,170567,179150,181483,190083,189417,188083,184333,174500,177500,185000,196500,205800,213300,219933,213317,216733,218433,232667,230917,236583,237333,250817,253483,255150,253333,258733,260400,258300,254567,256233,255000,245000,243300,242450,250783,244317,241750,248417,256583
394556,566,"Edwards, CO",msa,CO,647638,602972,551667,522000,557833,560500,534333,511000,490000,505833,546000,590167,605167,574167,584000,602167,623667,603333,570167,583667,610000,645542,645219,654386,625928,602067,591233,654150,650000,651667,625000,656667,658333,642000,622000,682000,708333,731167,691167,669167,725476,707142,720476,701750,836750,877083,907683,854350,876183,956833,871833,848583,710250,748583,735833,755833,729167,771333,799667,858750,845750,854083,887000,898667,953667,956500,964833,906500,873333,893333,933242,931242,904576,908000,978167,1069000,1005167,942000,899333,1057333
394547,567,"Durango, CO",msa,CO,352500,355333,367050,350050,369550,357833,372500,365167,375500,372167,370833,384167,367500,377083,362083,386250,389167,390833,389500,396733,406733,405733,412250,402250,393750,370250,357917,359583,373333,381917,388417,392750,403167,410000,392500,389333,385000,387833,406000,416667,422167,409167,404500,423500,432750,445083,450250,450625,469542,444708,450750,429500,449000,471000,486017,490500,487500,485317,521167,513167,510333,489500,484167,506250,532083,557083,549167,544833,546500,565667,556667,548150,532983,493817,508167,556667,609167,653333,633167,658167
753920,569,"Sonora, CA",msa,CA,251500,261167,266000,262333,264317,269483,276400,278183,275517,270600,268833,267083,263217,256550,261133,276667,288000,295833,295500,305500,298000,295000,279833,272167,267500,263000,277167,277333,287333,285000,283500,282500,291333,294500,283833,271167,275167,284167,286450,284450,283783,284250,289750,295417,307000,318208,329208,327125,329917,339917,358333,372000,390333,405667,411000,408333,401333,399667,400667,402667,406333,413000,430500,439167,445833,439667,442333,432333,421000,400000,387500,395833,401333,394167,385833,392000,406667,418833,417333,417333
395157,570,"Tiffin, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80133,84050,94183,93267,90433,91000,93667,106000,114000,119850,105517,107517,111817,115483,120117,119967,134133,129167,126667,128833,120667,123133,126483,138317,136683,136333,139667,147833,145933,144384,147468,143984,144533,129617,130000,129417,129733,130233,131150,132167,141000,141667
394517,574,"Danville, KY",msa,KY,108333,105000,101533,100533,105037,107670,118337,118800,119550,111550,116250,120417,125417,122583,121417,120750,124417,128667,130333,132333,127287,124620,125120,123000,115583,114000,119250,127417,124000,127917,128833,130500,123500,130833,132500,130867,122533,125700,130167,142167,144333,145967,142050,147050,152083,152379,143713,142379,146667,149167,157167,155467,163450,162450,171050,177050,179300,183650,186167,181467,175050,174683,176467,180133,179833,199833,205167,216500,204500,198333,189000,185333,187650,183650,181650,186667,198250,200583,212250,198333
395122,576,"St. Marys, GA",msa,GA,146967,148133,148800,144333,148473,150807,157723,166583,165917,161317,151617,152058,149342,150308,155533,162267,162333,165400,167400,176400,167333,157667,151800,159300,158950,164817,168317,179500,177833,175250,177383,176700,174617,172150,176833,178133,177133,173133,173141,176608,183274,189933,199933,204583,202117,202817,200167,204333,200292,209958,213292,215000,211333,214333,222332,227665,226998,228167,224833,230167,234333,239000,244867,243700,247367,257167,263333,271667,265833,259667,256833,252667,263833,264917,270583,268917,275583,278583,288583,288667
394402,577,"Boone, NC",msa,NC,243333,232833,233092,213092,222425,236167,245167,249333,238667,245000,254500,256000,252000,226833,221000,220333,239667,243333,252833,261167,265167,258167,251500,244417,233750,233750,244583,256250,257883,264133,274967,276833,278000,280833,282333,280500,283083,287417,278083,271000,265000,281667,288333,321667,341333,349667,342000,339000,347333,359000,354000,355667,342500,342500,345750,346917,362583,366333,379333,363333,358483,350150,367983,388833,409667,432167,424167,415000,408333,412500,431667,418750,420167,392667,390583,400333,433667,465333,463333,451667
395204,578,"Warrensburg, MO",msa,MO,138250,145750,146908,146584,145184,148859,158133,161200,164867,164000,165633,162633,153383,142583,142917,152500,166500,168167,169817,165983,165550,166467,173450,173050,170150,156500,157333,155967,164283,169600,176967,178983,178667,180067,181233,181733,181967,184450,188917,189950,186800,183500,187667,192083,193917,192750,199833,207000,205583,199250,196917,197000,207083,218750,229750,229667,217667,211667,202300,213133,218633,223833,218333,220500,230667,239000,231000,233666,229000,242667,240333,244317,241983,240317,232633,242267,254767,269800,263000,252133
